latitude,longitude,geometric_altitude
32.83526, -97.29790, 211.8
32.83180, -97.30142, 505.7
32.82607, -97.31136, 1000.1
32.81849, -97.31905, 1395.7
32.80845, -97.32505, 1764.6
32.79982, -97.32717, 2409.8
32.79479, -97.32207, 3006.4
32.79379, -97.32001, 3133.5
32.78654, -97.29783, 4133.3
32.78122, -97.27744, 4855.6
32.77910, -97.24633, 5807.5
32.77673, -97.22121, 6621.1
32.77490, -97.20351, 7172.0
32.77390, -97.18914, 7484.6
32.77573, -97.14025, 8321.5
32.78268, -97.05370, 9512.2
32.79297, -96.95351, 10741.7
32.79607, -96.90563, 11230.8
32.81163, -96.79795, 12215.3
32.81973, -96.69527, 13203.1
32.82185, -96.61619, 13997.8
32.81769, -96.54815, 14863.9
32.81254, -96.52954, 15114.3
32.78889, -96.43375, 16443.3
32.77224, -96.39318, 17572.3
32.76020, -96.36632, 18570.0
32.75575, -96.35330, 19335.5
32.75088, -96.33493, 20692.1
32.74793, -96.32675, 22315.8
32.74294, -96.32780, 23323.1
32.73430, -96.33081, 24541.6
32.72595, -96.33498, 25530.0
32.71740, -96.34180, 27164.3
32.71353, -96.33932, 28065.1
32.69548, -96.30098, 30408.3
32.68757, -96.27702, 31610.7
32.68533, -96.25213, 32513.5
32.68894, -96.23010, 33282.4
32.69535, -96.20325, 34129.1
32.70534, -96.13446, 35585.1
