   n Elapsed time  TimeUTC HeightMSL GpsHeightMSL     P   Temp RH   Dewp   Dir Speed Ecomp Ncomp       Lat        Lon
                s hh:mm:ss         m            m   hPa     °C  %     °C     °   m/s   m/s   m/s         °          °
   1            0 23:03:49       198          198 998.3  26.60 44  13.40  98.0   2.1  -2.0   0.3 32.835222 -97.297940
   2            1 23:03:50       212          209 996.8  26.21 42  12.44 103.8   1.6  -1.6   0.4 32.835216 -97.297976
   3            2 23:03:51       215          214 996.3  26.22 42  12.43 105.7   1.5  -1.5   0.4 32.835196 -97.298007
   4            3 23:03:52       219          219 995.9  26.19 42  12.36 105.3   1.6  -1.5   0.4 32.835177 -97.298026
   5            4 23:03:53       224          224 995.4  26.17 42  12.29 103.8   1.7  -1.6   0.4 32.835161 -97.298038
   6            5 23:03:54       230          230 994.7  26.14 42  12.24 102.3   1.8  -1.8   0.4 32.835151 -97.298057
   7            6 23:03:55       235          235 994.1  26.08 42  12.19 101.0   1.9  -1.9   0.4 32.835143 -97.298094
   8            7 23:03:56       241          241 993.5  26.03 42  12.16 100.1   2.0  -2.0   0.4 32.835141 -97.298137
   9            8 23:03:57       247          247 992.8  25.96 42  12.14  99.3   2.1  -2.1   0.3 32.835148 -97.298169
  10            9 23:03:58       252          252 992.2  25.90 42  12.13  98.6   2.2  -2.2   0.3 32.835165 -97.298182
  11           10 23:03:59       257          257 991.6  25.84 42  12.10  98.1   2.3  -2.3   0.3 32.835194 -97.298185
  12           11 23:04:00       262          262 991.1  25.79 42  12.10  97.7   2.4  -2.4   0.3 32.835233 -97.298196
  13           12 23:04:01       268          268 990.4  25.74 43  12.10  97.4   2.5  -2.4   0.3 32.835273 -97.298227
  14           13 23:04:02       275          275 989.6  25.69 43  12.08  97.1   2.5  -2.5   0.3 32.835302 -97.298276
  15           14 23:04:03       282          282 988.9  25.63 43  12.07  96.9   2.6  -2.6   0.3 32.835314 -97.298329
  16           15 23:04:04       288          288 988.2  25.58 43  12.07  96.7   2.6  -2.6   0.3 32.835305 -97.298378
  17           16 23:04:05       293          293 987.6  25.54 43  12.05  96.6   2.6  -2.6   0.3 32.835279 -97.298426
  18           17 23:04:06       298          297 987.1  25.48 43  12.01  96.5   2.7  -2.6   0.3 32.835249 -97.298470
  19           18 23:04:07       303          303 986.5  25.42 43  11.99  96.4   2.7  -2.7   0.3 32.835222 -97.298507
  20           19 23:04:08       309          309 985.8  25.36 43  11.97  96.4   2.7  -2.7   0.3 32.835201 -97.298530
  21           20 23:04:09       315          315 985.1  25.31 43  11.97  96.3   2.7  -2.6   0.3 32.835192 -97.298539
  22           21 23:04:10       322          322 984.3  25.24 43  11.96  96.4   2.6  -2.6   0.3 32.835202 -97.298546
  23           22 23:04:11       329          329 983.6  25.17 43  11.92  96.5   2.6  -2.6   0.3 32.835228 -97.298563
  24           23 23:04:12       336          336 982.8  25.11 44  11.91  96.6   2.6  -2.5   0.3 32.835256 -97.298599
  25           24 23:04:13       343          343 982.0  25.04 44  11.88  96.8   2.5  -2.5   0.3 32.835278 -97.298651
  26           25 23:04:14       350          350 981.3  24.97 44  11.85  97.1   2.5  -2.4   0.3 32.835285 -97.298710
  27           26 23:04:15       356          356 980.6  24.91 44  11.85  97.4   2.4  -2.4   0.3 32.835279 -97.298759
  28           27 23:04:16       362          362 979.9  24.83 44  11.85  97.7   2.3  -2.3   0.3 32.835266 -97.298787
  29           28 23:04:17       368          368 979.2  24.78 44  11.86  98.2   2.3  -2.2   0.3 32.835261 -97.298796
  30           29 23:04:18       374          374 978.5  24.72 45  11.88  98.7   2.2  -2.2   0.3 32.835268 -97.298800
  31           30 23:04:19       381          381 977.7  24.65 45  11.89  99.4   2.1  -2.1   0.3 32.835283 -97.298818
  32           31 23:04:20       389          388 976.9  24.57 45  11.89 100.3   2.1  -2.0   0.4 32.835297 -97.298852
  33           32 23:04:21       396          396 976.0  24.50 45  11.89 101.3   2.0  -1.9   0.4 32.835301 -97.298891
  34           33 23:04:22       404          405 975.1  24.44 45  11.90 102.5   1.9  -1.9   0.4 32.835300 -97.298918
  35           34 23:04:23       412          413 974.2  24.37 45  11.87 103.8   1.9  -1.8   0.4 32.835304 -97.298933
  36           35 23:04:24       420          420 973.4  24.29 46  11.83 105.3   1.8  -1.7   0.5 32.835313 -97.298952
  37           36 23:04:25       427          427 972.6  24.21 46  11.80 107.0   1.8  -1.7   0.5 32.835318 -97.298984
  38           37 23:04:26       433          433 971.9  24.14 46  11.78 108.9   1.7  -1.6   0.6 32.835310 -97.299020
  39           38 23:04:27       439          439 971.3  24.08 46  11.77 110.9   1.7  -1.6   0.6 32.835290 -97.299041
  40           39 23:04:28       445          445 970.6  24.03 46  11.75 113.0   1.7  -1.6   0.7 32.835273 -97.299045
  41           40 23:04:29       451          451 969.9  23.98 46  11.73 115.1   1.7  -1.5   0.7 32.835269 -97.299036
  42           41 23:04:30       458          458 969.2  23.91 46  11.75 117.1   1.7  -1.5   0.8 32.835279 -97.299022
  43           42 23:04:31       465          465 968.4  23.85 47  11.77 119.1   1.7  -1.5   0.8 32.835298 -97.299005
  44           43 23:04:32       472          472 967.7  23.79 47  11.76 120.8   1.7  -1.5   0.9 32.835318 -97.298986
  45           44 23:04:33       478          478 967.0  23.72 47  11.75 122.5   1.8  -1.5   1.0 32.835334 -97.298964
  46           45 23:04:34       484          484 966.3  23.66 47  11.76 124.0   1.8  -1.5   1.0 32.835341 -97.298951
  47           46 23:04:35       491          491 965.6  23.59 47  11.75 125.3   1.9  -1.5   1.1 32.835337 -97.298956
  48           47 23:04:36       497          497 964.9  23.52 47  11.74 126.5   1.9  -1.6   1.2 32.835325 -97.298981
  49           48 23:04:37       503          503 964.2  23.45 48  11.73 127.5   2.0  -1.6   1.2 32.835315 -97.299025
  50           49 23:04:38       510          510 963.4  23.37 48  11.72 128.2   2.1  -1.6   1.3 32.835318 -97.299075
  51           50 23:04:39       517          517 962.6  23.29 48  11.71 128.7   2.2  -1.7   1.4 32.835337 -97.299116
  52           51 23:04:40       524          525 961.8  23.23 48  11.68 129.0   2.2  -1.7   1.4 32.835367 -97.299140
  53           52 23:04:41       531          531 961.1  23.16 48  11.64 129.2   2.3  -1.8   1.5 32.835404 -97.299149
  54           53 23:04:42       538          537 960.4  23.10 48  11.64 129.2   2.4  -1.9   1.5 32.835445 -97.299153
  55           54 23:04:43       544          544 959.7  23.04 49  11.66 129.0   2.5  -1.9   1.6 32.835487 -97.299164
  56           55 23:04:44       551          551 958.9  22.97 49  11.66 128.8   2.5  -2.0   1.6 32.835527 -97.299193
  57           56 23:04:45       559          559 958.1  22.90 49  11.66 128.5   2.6  -2.0   1.6 32.835558 -97.299240
  58           57 23:04:46       566          566 957.3  22.83 49  11.64 128.2   2.7  -2.1   1.7 32.835572 -97.299295
  59           58 23:04:47       573          573 956.5  22.75 49  11.60 127.8   2.7  -2.2   1.7 32.835567 -97.299343
  60           59 23:04:48       580          580 955.7  22.68 49  11.58 127.3   2.8  -2.2   1.7 32.835553 -97.299375
  61           60 23:04:49       587          586 955.0  22.62 50  11.57 126.8   2.9  -2.3   1.7 32.835545 -97.299392
  62           61 23:04:50       593          593 954.3  22.55 50  11.54 126.2   2.9  -2.3   1.7 32.835555 -97.299403
  63           62 23:04:51       600          600 953.5  22.48 50  11.52 125.4   3.0  -2.4   1.7 32.835585 -97.299415
  64           63 23:04:52       608          608 952.7  22.42 50  11.53 124.7   3.0  -2.5   1.7 32.835625 -97.299435
  65           64 23:04:53       615          615 951.9  22.35 50  11.54 123.9   3.0  -2.5   1.7 32.835658 -97.299464
  66           65 23:04:54       623          623 951.0  22.28 50  11.53 123.1   3.1  -2.6   1.7 32.835675 -97.299493
  67           66 23:04:55       630          630 950.2  22.20 51  11.51 122.3   3.1  -2.6   1.7 32.835676 -97.299513
  68           67 23:04:56       637          638 949.4  22.12 51  11.49 121.5   3.1  -2.7   1.6 32.835677 -97.299522
  69           68 23:04:57       644          645 948.7  22.05 51  11.44 120.7   3.1  -2.7   1.6 32.835693 -97.299532
  70           69 23:04:58       651          651 948.0  21.99 51  11.40 119.9   3.2  -2.7   1.6 32.835725 -97.299554
  71           70 23:04:59       656          656 947.4  21.94 51  11.37 119.1   3.2  -2.8   1.5 32.835760 -97.299594
  72           71 23:05:00       661          661 946.9  21.90 51  11.37 118.3   3.2  -2.8   1.5 32.835787 -97.299650
  73           72 23:05:01       665          665 946.5  21.85 51  11.37 117.5   3.2  -2.8   1.5 32.835800 -97.299714
  74           73 23:05:02       669          669 946.0  21.79 52  11.40 116.8   3.2  -2.9   1.5 32.835798 -97.299772
  75           74 23:05:03       674          674 945.4  21.74 52  11.45 116.1   3.2  -2.9   1.4 32.835786 -97.299812
  76           75 23:05:04       681          680 944.7  21.68 52  11.48 115.5   3.2  -2.9   1.4 32.835776 -97.299829
  77           76 23:05:05       688          687 944.0  21.62 52  11.48 114.9   3.2  -2.9   1.4 32.835777 -97.299828
