   n Elapsed time  TimeUTC HeightMSL GpsHeightMSL      P   Temp RH   Dewp   Dir Speed Ecomp Ncomp       Lat        Lon
                s hh:mm:ss         m            m    hPa     °C  %     °C     °   m/s   m/s   m/s         °          °
   1            0 11:13:55       198          198 1000.8   8.80 55   0.27 339.0   3.1   1.1  -2.9 32.835222 -97.297940
   2            1 11:13:56       199          192 1000.7   8.83 54   0.02   0.9   2.7  -0.0  -2.7 32.835240 -97.297865
   3            2 11:13:57       200          193 1000.6   8.86 53  -0.25  11.3   2.8  -0.6  -2.8 32.835214 -97.297839
   4            3 11:13:58       201          196 1000.5   8.90 52  -0.52  15.1   3.1  -0.8  -3.0 32.835163 -97.297834
   5            4 11:13:59       202          202 1000.4   8.93 50  -0.79  16.1   3.4  -0.9  -3.2 32.835095 -97.297838
   6            5 11:14:00       207          207  999.8   8.99 49  -1.11  16.6   3.7  -1.0  -3.5 32.835021 -97.297847
   7            6 11:14:01       212          212  999.2   9.04 48  -1.38  17.1   4.0  -1.2  -3.8 32.834952 -97.297856
   8            7 11:14:02       217          217  998.5   9.00 48  -1.51  17.9   4.3  -1.3  -4.1 32.834899 -97.297864
   9            8 11:14:03       224          223  997.8   8.93 48  -1.60  18.7   4.6  -1.5  -4.3 32.834866 -97.297876
  10            9 11:14:04       230          230  997.0   8.92 47  -1.77  19.5   4.9  -1.6  -4.6 32.834840 -97.297892
  11           10 11:14:05       236          237  996.3   9.00 46  -1.99  20.3   5.1  -1.8  -4.8 32.834809 -97.297914
  12           11 11:14:06       242          242  995.6   9.05 45  -2.22  21.0   5.4  -1.9  -5.1 32.834764 -97.297947
  13           12 11:14:07       247          248  994.9   9.09 44  -2.41  21.7   5.7  -2.1  -5.3 32.834710 -97.297987
  14           13 11:14:08       253          252  994.3   9.12 44  -2.61  22.4   6.0  -2.3  -5.6 32.834657 -97.298031
  15           14 11:14:09       258          258  993.6   9.16 43  -2.81  23.0   6.3  -2.5  -5.8 32.834613 -97.298074
  16           15 11:14:10       264          264  992.9   9.22 42  -2.99  23.6   6.6  -2.6  -6.0 32.834576 -97.298113
  17           16 11:14:11       271          271  992.2   9.21 42  -3.14  24.2   6.8  -2.8  -6.2 32.834537 -97.298140
  18           17 11:14:12       276          276  991.5   9.17 41  -3.28  24.8   7.1  -3.0  -6.4 32.834485 -97.298149
  19           18 11:14:13       281          281  990.9   9.17 41  -3.41  25.3   7.3  -3.1  -6.6 32.834419 -97.298142
  20           19 11:14:14       287          287  990.2   9.16 41  -3.54  25.8   7.6  -3.3  -6.8 32.834342 -97.298133
  21           20 11:14:15       293          293  989.5   9.11 40  -3.86  26.3   7.8  -3.5  -7.0 32.834257 -97.298143
  22           21 11:14:16       298          298  988.9   9.22 38  -4.45  26.8   8.0  -3.6  -7.1 32.834169 -97.298185
  23           22 11:14:17       303          303  988.2   9.34 36  -4.95  27.3   8.2  -3.8  -7.3 32.834087 -97.298253
  24           23 11:14:18       308          308  987.6   9.37 35  -5.19  27.8   8.4  -3.9  -7.4 32.834018 -97.298335
  25           24 11:14:19       314          314  987.0   9.36 35  -5.30  28.3   8.6  -4.1  -7.6 32.833960 -97.298416
  26           25 11:14:20       319          319  986.4   9.31 35  -5.45  28.7   8.8  -4.2  -7.7 32.833904 -97.298486
  27           26 11:14:21       325          325  985.7   9.30 34  -5.78  29.2   8.9  -4.4  -7.8 32.833839 -97.298546
  28           27 11:14:22       331          331  985.0   9.34 33  -6.18  29.7   9.1  -4.5  -7.9 32.833759 -97.298596
  29           28 11:14:23       337          337  984.3   9.34 32  -6.44  30.1   9.2  -4.6  -8.0 32.833672 -97.298636
  30           29 11:14:24       342          342  983.6   9.36 32  -6.67  30.6   9.4  -4.8  -8.1 32.833588 -97.298665
  31           30 11:14:25       348          348  983.0   9.36 31  -6.93  31.0   9.5  -4.9  -8.1 32.833509 -97.298684
  32           31 11:14:26       352          352  982.4   9.37 30  -7.21  31.5   9.6  -5.0  -8.2 32.833427 -97.298705
  33           32 11:14:27       357          357  981.8   9.39 29  -7.56  32.0   9.7  -5.1  -8.2 32.833337 -97.298740
  34           33 11:14:28       362          362  981.2   9.39 29  -7.89  32.5   9.8  -5.2  -8.2 32.833238 -97.298798
  35           34 11:14:29       368          367  980.6   9.39 28  -8.19  33.0   9.8  -5.4  -8.3 32.833140 -97.298879
  36           35 11:14:30       373          373  980.0   9.41 27  -8.46  33.5   9.9  -5.5  -8.3 32.833052 -97.298974
  37           36 11:14:31       378          378  979.3   9.40 27  -8.64  34.0  10.0  -5.6  -8.3 32.832979 -97.299070
  38           37 11:14:32       384          384  978.6   9.37 27  -8.74  34.5  10.0  -5.7  -8.3 32.832914 -97.299155
  39           38 11:14:33       390          390  978.0   9.34 27  -8.79  35.1  10.1  -5.8  -8.3 32.832846 -97.299223
  40           39 11:14:34       396          396  977.3   9.31 27  -8.81  35.6  10.1  -5.9  -8.2 32.832768 -97.299277
  41           40 11:14:35       401          401  976.6   9.27 27  -8.81  36.1  10.2  -6.0  -8.2 32.832686 -97.299323
  42           41 11:14:36       407          407  975.9   9.23 27  -8.84  36.6  10.2  -6.1  -8.2 32.832610 -97.299371
  43           42 11:14:37       414          414  975.2   9.19 27  -8.89  37.1  10.3  -6.2  -8.2 32.832546 -97.299430
  44           43 11:14:38       420          420  974.4   9.16 27  -8.93  37.6  10.3  -6.3  -8.2 32.832485 -97.299504
  45           44 11:14:39       426          426  973.7   9.12 27  -9.00  38.0  10.4  -6.4  -8.2 32.832417 -97.299583
  46           45 11:14:40       431          431  973.1   9.09 27  -9.05  38.5  10.4  -6.5  -8.2 32.832335 -97.299660
  47           46 11:14:41       437          436  972.5   9.06 27  -9.05  38.9  10.5  -6.6  -8.2 32.832245 -97.299727
  48           47 11:14:42       442          442  971.8   9.03 27  -9.02  39.3  10.6  -6.7  -8.2 32.832160 -97.299778
  49           48 11:14:43       449          448  971.1   9.00 27  -9.02  39.6  10.6  -6.8  -8.2 32.832087 -97.299822
  50           49 11:14:44       455          455  970.3   8.96 27  -9.05  40.0  10.7  -6.9  -8.2 32.832031 -97.299873
  51           50 11:14:45       461          461  969.6   8.93 27  -9.07  40.2  10.8  -7.0  -8.2 32.831986 -97.299941
  52           51 11:14:46       466          466  969.0   8.91 27  -9.04  40.5  10.9  -7.1  -8.3 32.831943 -97.300028
  53           52 11:14:47       471          471  968.4   8.88 27  -9.02  40.7  11.0  -7.2  -8.3 32.831895 -97.300129
  54           53 11:14:48       476          476  967.9   8.85 27  -9.10  40.9  11.1  -7.2  -8.4 32.831837 -97.300237
  55           54 11:14:49       480          480  967.3   8.82 27  -9.29  41.0  11.2  -7.3  -8.4 32.831770 -97.300339
  56           55 11:14:50       485          485  966.8   8.81 26  -9.53  41.1  11.3  -7.4  -8.5 32.831696 -97.300423
  57           56 11:14:51       490          490  966.2   8.79 26  -9.73  41.1  11.4  -7.5  -8.6 32.831618 -97.300490
  58           57 11:14:52       496          496  965.5   8.78 26  -9.85  41.2  11.5  -7.6  -8.7 32.831533 -97.300548
  59           58 11:14:53       502          502  964.8   8.75 25  -9.94  41.2  11.6  -7.7  -8.7 32.831439 -97.300612
  60           59 11:14:54       508          508  964.1   8.73 25 -10.07  41.2  11.7  -7.7  -8.8 32.831339 -97.300692
  61           60 11:14:55       513          513  963.5   8.71 25 -10.19  41.2  11.8  -7.8  -8.9 32.831238 -97.300790
  62           61 11:14:56       517          517  963.0   8.68 25 -10.34  41.2  12.0  -7.9  -9.0 32.831145 -97.300902
  63           62 11:14:57       521          521  962.5   8.67 24 -10.53  41.1  12.1  -7.9  -9.1 32.831064 -97.301016
  64           63 11:14:58       526          526  962.0   8.64 24 -10.76  41.1  12.2  -8.0  -9.2 32.830997 -97.301120
  65           64 11:14:59       532          532  961.3   8.61 24 -11.02  41.1  12.2  -8.0  -9.2 32.830937 -97.301209
  66           65 11:15:00       538          538  960.6   8.58 23 -11.30  41.0  12.3  -8.1  -9.3 32.830874 -97.301281
  67           66 11:15:01       544          544  959.9   8.56 23 -11.51  41.0  12.4  -8.1  -9.4 32.830798 -97.301342
  68           67 11:15:02       549          549  959.3   8.54 23 -11.62  40.9  12.5  -8.2  -9.4 32.830705 -97.301400
  69           68 11:15:03       554          554  958.8   8.50 23 -11.70  40.9  12.5  -8.2  -9.5 32.830600 -97.301468
  70           69 11:15:04       559          559  958.2   8.47 22 -11.79  40.9  12.6  -8.2  -9.5 32.830493 -97.301554
  71           70 11:15:05       564          564  957.6   8.43 22 -11.86  41.0  12.6  -8.3  -9.5 32.830390 -97.301660
  72           71 11:15:06       569          569  956.9   8.39 22 -11.89  41.0  12.7  -8.3  -9.5 32.830288 -97.301777
  73           72 11:15:07       575          575  956.3   8.36 22 -11.92  41.1  12.7  -8.3  -9.6 32.830184 -97.301896
  74           73 11:15:08       580          580  955.7   8.33 22 -11.94  41.2  12.7  -8.4  -9.5 32.830075 -97.302006
  75           74 11:15:09       585          585  955.1   8.30 22 -11.94  41.3  12.7  -8.4  -9.5 32.829964 -97.302098
  76           75 11:15:10       590          590  954.5   8.28 22 -11.95  41.5  12.7  -8.4  -9.5 32.829861 -97.302172
  77           76 11:15:11       596          596  953.9   8.26 22 -11.96  41.6  12.7  -8.4  -9.5 32.829774 -97.302234
  78           77 11:15:12       601          602  953.2   8.24 22 -11.94  41.8  12.7  -8.4  -9.4 32.829702 -97.302299
  79           78 11:15:13       607          607  952.6   8.23 23 -11.86  41.9  12.6  -8.4  -9.4 32.829638 -97.302380
  80           79 11:15:14       612          612  952.0   8.21 23 -11.74  42.1  12.6  -8.4  -9.3 32.829570 -97.302478
  81           80 11:15:15       618          617  951.4   8.20 23 -11.66  42.3  12.5  -8.4  -9.3 32.829489 -97.302587
  82           81 11:15:16       623          623  950.7   8.18 23 -11.62  42.5  12.5  -8.4  -9.2 32.829394 -97.302697
  83           82 11:15:17       629          629  950.1   8.13 23 -11.60  42.7  12.5  -8.4  -9.2 32.829292 -97.302796
  84           83 11:15:18       634          634  949.5   8.09 23 -11.62  42.9  12.4  -8.4  -9.1 32.829196 -97.302882
  85           84 11:15:19       639          639  948.9   8.06 23 -11.63  43.0  12.3  -8.4  -9.0 32.829116 -97.302955
  86           85 11:15:20       645          645  948.3   8.02 23 -11.60  43.1  12.3  -8.4  -9.0 32.829051 -97.303025
  87           86 11:15:21       650          650  947.6   7.98 24 -11.58  43.2  12.2  -8.4  -8.9 32.828992 -97.303104
  88           87 11:15:22       656          656  947.0   7.95 24 -11.58  43.3  12.2  -8.3  -8.8 32.828929 -97.303196
  89           88 11:15:23       660          661  946.4   7.92 24 -11.57  43.3  12.1  -8.3  -8.8 32.828857 -97.303303
  90           89 11:15:24       665          665  945.9   7.89 24 -11.52  43.3  12.0  -8.3  -8.8 32.828783 -97.303419
  91           90 11:15:25       670          670  945.3   7.86 24 -11.51  43.3  12.0  -8.2  -8.7 32.828712 -97.303534
  92           91 11:15:26       676          676  944.7   7.83 24 -11.56  43.2  11.9  -8.2  -8.7 32.828648 -97.303641
  93           92 11:15:27       681          681  944.0   7.79 24 -11.62  43.0  11.8  -8.1  -8.7 32.828590 -97.303735
  94           93 11:15:28       687          687  943.3   7.76 24 -11.69  42.8  11.8  -8.0  -8.7 32.828526 -97.303814
  95           94 11:15:29       694          694  942.6   7.73 24 -11.74  42.5  11.7  -7.9  -8.6 32.828448 -97.303883
  96           95 11:15:30       700          700  941.9   7.72 24 -11.76  42.2  11.7  -7.8  -8.6 32.828353 -97.303949
  97           96 11:15:31       706          706  941.2   7.72 24 -11.75  41.8  11.6  -7.7  -8.7 32.828249 -97.304019
  98           97 11:15:32       712          712  940.5   7.74 24 -11.77  41.3  11.6  -7.6  -8.7 32.828149 -97.304102
  99           98 11:15:33       717          717  940.0   7.74 23 -11.84  40.8  11.5  -7.5  -8.7 32.828062 -97.304197
 100           99 11:15:34       722          722  939.4   7.73 23 -11.90  40.3  11.4  -7.4  -8.7 32.827992 -97.304296
 101          100 11:15:35       726          726  938.9   7.71 23 -11.90  39.7  11.4  -7.3  -8.8 32.827936 -97.304394
 102          101 11:15:36       732          731  938.3   7.68 23 -11.88  39.0  11.4  -7.2  -8.8 32.827887 -97.304490
 103          102 11:15:37       738          738  937.6   7.66 23 -11.89  38.4  11.3  -7.0  -8.9 32.827834 -97.304584
 104          103 11:15:38       745          745  936.8   7.64 23 -11.91  37.7  11.3  -6.9  -8.9 32.827771 -97.304675
 105          104 11:15:39       752          753  935.9   7.60 24 -11.93  37.0  11.3  -6.8  -9.0 32.827692 -97.304759
 106          105 11:15:40       759          759  935.2   7.57 24 -11.94  36.2  11.2  -6.6  -9.1 32.827598 -97.304828
 107          106 11:15:41       765          765  934.5   7.56 24 -11.93  35.5  11.2  -6.5  -9.1 32.827498 -97.304878
 108          107 11:15:42       770          770  933.9   7.57 24 -11.91  34.7  11.2  -6.4  -9.2 32.827401 -97.304913
 109          108 11:15:43       775          775  933.3   7.58 24 -11.92  34.0  11.2  -6.3  -9.3 32.827313 -97.304943
 110          109 11:15:44       781          781  932.7   7.58 23 -11.99  33.3  11.2  -6.2  -9.4 32.827236 -97.304983
 111          110 11:15:45       786          786  932.1   7.57 23 -12.06  32.6  11.2  -6.0  -9.5 32.827163 -97.305045
 112          111 11:15:46       792          792  931.5   7.56 23 -12.08  31.9  11.2  -5.9  -9.5 32.827085 -97.305126
 113          112 11:15:47       797          797  930.8   7.55 23 -12.06  31.2  11.3  -5.8  -9.6 32.826994 -97.305214
 114          113 11:15:48       803          803  930.2   7.52 23 -12.02  30.6  11.3  -5.7  -9.7 32.826889 -97.305289
 115          114 11:15:49       808          808  929.6   7.50 24 -11.94  30.0  11.3  -5.7  -9.8 32.826777 -97.305342
 116          115 11:15:50       813          813  929.0   7.48 24 -11.81  29.4  11.4  -5.6  -9.9 32.826671 -97.305373
 117          116 11:15:51       818          818  928.4   7.46 24 -11.71  28.9  11.4  -5.5 -10.0 32.826578 -97.305392
 118          117 11:15:52       824          824  927.8   7.44 24 -11.69  28.4  11.5  -5.4 -10.1 32.826502 -97.305415
 119          118 11:15:53       829          829  927.2   7.41 24 -11.73  27.9  11.5  -5.4 -10.2 32.826435 -97.305457
 120          119 11:15:54       834          835  926.6   7.39 24 -11.79  27.5  11.6  -5.3 -10.3 32.826368 -97.305518
 121          120 11:15:55       840          840  926.0   7.38 24 -11.88  27.0  11.6  -5.3 -10.4 32.826289 -97.305594
 122          121 11:15:56       845          845  925.5   7.39 24 -12.05  26.6  11.7  -5.2 -10.5 32.826192 -97.305673
 123          122 11:15:57       851          850  924.8   7.41 23 -12.17  26.2  11.8  -5.2 -10.5 32.826079 -97.305743
 124          123 11:15:58       856          856  924.2   7.40 23 -12.17  25.9  11.8  -5.2 -10.6 32.825959 -97.305796
 125          124 11:15:59       863          863  923.5   7.38 23 -12.13  25.5  11.9  -5.1 -10.7 32.825848 -97.305834
 126          125 11:16:00       869          869  922.8   7.36 24 -12.04  25.2  12.0  -5.1 -10.8 32.825755 -97.305865
 127          126 11:16:01       875          875  922.1   7.34 24 -11.96  24.8  12.1  -5.1 -10.9 32.825680 -97.305900
 128          127 11:16:02       881          881  921.4   7.35 24 -11.86  24.5  12.1  -5.0 -11.0 32.825611 -97.305950
 129          128 11:16:03       887          887  920.7   7.34 24 -11.73  24.2  12.2  -5.0 -11.1 32.825531 -97.306015
