   n Elapsed time  TimeUTC HeightMSL GpsHeightMSL     P   Temp RH   Dewp   Dir Speed Ecomp Ncomp       Lat        Lon
                s hh:mm:ss         m            m   hPa     °C  %     °C     °   m/s   m/s   m/s         °          °
   1            0 23:02:47       198          198 995.5  28.00 28   7.65 110.0   3.6  -3.4   1.2 32.835222 -97.297940
   2            1 23:02:48       206          206 994.6  27.76 25   6.04 103.1   3.5  -3.4   0.8 32.835218 -97.298070
   3            2 23:02:49       212          212 993.9  27.74 25   6.00 100.1   3.6  -3.6   0.6 32.835219 -97.298148
   4            3 23:02:50       218          218 993.2  27.66 25   5.86  98.9   3.8  -3.7   0.6 32.835228 -97.298203
   5            4 23:02:51       224          224 992.6  27.57 25   5.74  98.4   4.0  -3.9   0.6 32.835246 -97.298253
   6            5 23:02:52       229          230 992.0  27.52 25   5.63  98.2   4.1  -4.1   0.6 32.835266 -97.298318
   7            6 23:02:53       234          234 991.4  27.42 24   5.43  97.9   4.3  -4.2   0.6 32.835281 -97.298405
   8            7 23:02:54       239          239 990.9  27.30 24   5.28  97.5   4.4  -4.4   0.6 32.835293 -97.298510
   9            8 23:02:55       244          244 990.3  27.21 25   5.28  97.2   4.5  -4.5   0.6 32.835307 -97.298619
  10            9 23:02:56       249          249 989.8  27.17 25   5.35  96.8   4.7  -4.6   0.6 32.835325 -97.298720
  11           10 23:02:57       254          254 989.3  27.13 25   5.33  96.5   4.8  -4.7   0.5 32.835347 -97.298801
  12           11 23:02:58       258          258 988.7  27.05 25   5.22  96.2   4.9  -4.8   0.5 32.835371 -97.298857
  13           12 23:02:59       263          263 988.2  26.99 25   5.14  95.9   4.9  -4.9   0.5 32.835391 -97.298895
  14           13 23:03:00       268          268 987.7  26.94 25   5.09  95.6   5.0  -5.0   0.5 32.835400 -97.298925
  15           14 23:03:01       272          272 987.2  26.91 25   5.07  95.4   5.1  -5.1   0.5 32.835394 -97.298955
  16           15 23:03:02       276          276 986.7  26.87 25   5.08  95.2   5.2  -5.1   0.5 32.835373 -97.298991
  17           16 23:03:03       280          281 986.3  26.84 25   5.10  94.9   5.2  -5.2   0.5 32.835346 -97.299030
  18           17 23:03:04       284          285 985.8  26.80 25   5.12  94.8   5.3  -5.3   0.4 32.835321 -97.299068
  19           18 23:03:05       288          288 985.4  26.76 25   5.14  94.6   5.4  -5.3   0.4 32.835305 -97.299100
  20           19 23:03:06       293          292 984.9  26.71 25   5.18  94.5   5.4  -5.4   0.4 32.835303 -97.299127
  21           20 23:03:07       298          298 984.3  26.66 25   5.20  94.5   5.5  -5.5   0.4 32.835317 -97.299155
  22           21 23:03:08       304          304 983.6  26.61 25   5.17  94.4   5.5  -5.5   0.4 32.835341 -97.299194
  23           22 23:03:09       311          311 982.8  26.55 25   5.10  94.4   5.6  -5.6   0.4 32.835366 -97.299248
  24           23 23:03:10       318          318 982.1  26.47 25   5.04  94.4   5.6  -5.6   0.4 32.835380 -97.299316
