   n Elapsed time  TimeUTC HeightMSL GpsHeightMSL      P   Temp  RH   Dewp   Dir Speed Ecomp Ncomp       Lat        Lon
                s hh:mm:ss         m            m    hPa     °C   %     °C     °   m/s   m/s   m/s         °          °
   1            0 11:08:17       198          198 1000.1  19.50  54   9.98 357.0   2.6   0.1  -2.6 32.835222 -97.297940
   2            1 11:08:18       202          203  999.7  19.42  49   8.42  15.9   3.2  -0.9  -3.1 32.835102 -97.297902
   3            2 11:08:19       208          209  998.9  19.34  49   8.43  20.7   3.7  -1.3  -3.4 32.835029 -97.297908
   4            3 11:08:20       214          215  998.2  19.27  49   8.34  21.7   4.0  -1.5  -3.7 32.834977 -97.297933
   5            4 11:08:21       220          220  997.6  19.23  49   8.23  21.2   4.2  -1.5  -3.9 32.834939 -97.297967
   6            5 11:08:22       225          225  997.0  19.20  49   8.19  20.4   4.4  -1.5  -4.1 32.834905 -97.298007
   7            6 11:08:23       230          230  996.4  19.13  49   8.22  19.6   4.6  -1.5  -4.3 32.834864 -97.298050
   8            7 11:08:24       234          234  995.9  19.06  49   8.21  19.0   4.7  -1.5  -4.5 32.834810 -97.298090
   9            8 11:08:25       239          239  995.4  19.03  49   8.11  18.5   4.9  -1.6  -4.6 32.834740 -97.298123
  10            9 11:08:26       243          243  994.9  19.01  49   8.01  18.0   5.0  -1.6  -4.8 32.834657 -97.298147
  11           10 11:08:27       247          247  994.4  18.99  49   7.95  17.4   5.2  -1.6  -4.9 32.834569 -97.298161
  12           11 11:08:28       251          251  993.9  18.99  48   7.92  16.9   5.3  -1.5  -5.1 32.834486 -97.298164
  13           12 11:08:29       256          255  993.4  18.98  48   7.90  16.4   5.4  -1.5  -5.2 32.834420 -97.298159
  14           13 11:08:30       261          261  992.8  18.93  49   7.89  15.9   5.5  -1.5  -5.3 32.834376 -97.298154
  15           14 11:08:31       266          266  992.2  18.86  49   7.88  15.5   5.6  -1.5  -5.4 32.834349 -97.298160
  16           15 11:08:32       271          272  991.6  18.82  49   7.85  15.1   5.7  -1.5  -5.5 32.834327 -97.298185
  17           16 11:08:33       276          276  991.0  18.78  49   7.83  14.7   5.8  -1.5  -5.6 32.834295 -97.298227
  18           17 11:08:34       282          281  990.4  18.73  49   7.85  14.4   5.8  -1.4  -5.6 32.834242 -97.298276
  19           18 11:08:35       287          287  989.8  18.66  49   7.87  14.1   5.9  -1.4  -5.7 32.834173 -97.298316
  20           19 11:08:36       292          293  989.2  18.59  49   7.86  13.9   5.9  -1.4  -5.8 32.834102 -97.298339
  21           20 11:08:37       298          298  988.6  18.54  50   7.83  13.8   6.0  -1.4  -5.8 32.834046 -97.298345
  22           21 11:08:38       303          303  988.0  18.49  50   7.81  13.7   6.0  -1.4  -5.9 32.834010 -97.298344
  23           22 11:08:39       307          307  987.5  18.44  50   7.79  13.7   6.1  -1.4  -5.9 32.833989 -97.298338
  24           23 11:08:40       312          312  986.9  18.39  50   7.76  13.9   6.2  -1.5  -6.0 32.833969 -97.298331
  25           24 11:08:41       317          317  986.3  18.34  50   7.67  14.1   6.2  -1.5  -6.0 32.833938 -97.298321
  26           25 11:08:42       323          322  985.7  18.32  49   7.59  14.4   6.3  -1.6  -6.1 32.833888 -97.298308
  27           26 11:08:43       329          328  985.0  18.31  49   7.57  14.8   6.4  -1.6  -6.2 32.833821 -97.298294
  28           27 11:08:44       335          335  984.3  18.31  49   7.59  15.2   6.4  -1.7  -6.2 32.833744 -97.298282
  29           28 11:08:45       342          342  983.5  18.27  50   7.60  15.7   6.5  -1.8  -6.3 32.833668 -97.298276
  30           29 11:08:46       348          349  982.8  18.18  50   7.59  16.3   6.6  -1.9  -6.4 32.833601 -97.298276
  31           30 11:08:47       354          354  982.1  18.10  50   7.56  16.9   6.8  -2.0  -6.5 32.833548 -97.298281
  32           31 11:08:48       359          359  981.5  18.05  50   7.54  17.5   6.9  -2.1  -6.5 32.833510 -97.298295
  33           32 11:08:49       364          364  980.9  18.01  50   7.58  18.2   7.0  -2.2  -6.6 32.833479 -97.298323
  34           33 11:08:50       369          369  980.4  17.95  51   7.60  18.8   7.1  -2.3  -6.7 32.833446 -97.298365
  35           34 11:08:51       374          374  979.8  17.90  51   7.55  19.5   7.3  -2.4  -6.8 32.833396 -97.298418
  36           35 11:08:52       379          379  979.2  17.85  51   7.47  20.1   7.4  -2.5  -7.0 32.833324 -97.298470
  37           36 11:08:53       384          384  978.7  17.83  50   7.40  20.7   7.6  -2.7  -7.1 32.833236 -97.298512
  38           37 11:08:54       388          388  978.1  17.82  50   7.38  21.3   7.7  -2.8  -7.2 32.833144 -97.298540
  39           38 11:08:55       393          393  977.7  17.82  50   7.40  21.9   7.9  -2.9  -7.3 32.833062 -97.298557
  40           39 11:08:56       397          397  977.2  17.79  51   7.42  22.4   8.0  -3.1  -7.4 32.832996 -97.298572
  41           40 11:08:57       401          401  976.7  17.75  51   7.43  22.8   8.2  -3.2  -7.5 32.832945 -97.298598
  42           41 11:08:58       405          405  976.2  17.72  51   7.44  23.3   8.3  -3.3  -7.6 32.832902 -97.298640
  43           42 11:08:59       410          410  975.7  17.66  51   7.45  23.7   8.5  -3.4  -7.8 32.832857 -97.298699
  44           43 11:09:00       415          415  975.2  17.60  51   7.43  24.0   8.6  -3.5  -7.9 32.832801 -97.298770
  45           44 11:09:01       419          419  974.6  17.55  51   7.40  24.3   8.8  -3.6  -8.0 32.832732 -97.298843
  46           45 11:09:02       424          424  974.1  17.50  51   7.37  24.6   8.9  -3.7  -8.1 32.832649 -97.298914
  47           46 11:09:03       429          429  973.5  17.45  51   7.37  24.8   9.0  -3.8  -8.2 32.832554 -97.298978
  48           47 11:09:04       434          434  972.9  17.43  52   7.37  25.0   9.2  -3.9  -8.3 32.832450 -97.299031
  49           48 11:09:05       440          440  972.3  17.39  52   7.36  25.2   9.3  -3.9  -8.4 32.832344 -97.299072
  50           49 11:09:06       445          445  971.7  17.34  52   7.36  25.4   9.4  -4.0  -8.5 32.832243 -97.299098
  51           50 11:09:07       451          451  971.0  17.28  52   7.32  25.5   9.5  -4.1  -8.6 32.832156 -97.299114
  52           51 11:09:08       456          456  970.4  17.23  52   7.28  25.6   9.6  -4.1  -8.6 32.832086 -97.299125
  53           52 11:09:09       461          461  969.9  17.18  52   7.27  25.8   9.7  -4.2  -8.7 32.832032 -97.299139
  54           53 11:09:10       466          466  969.3  17.14  52   7.24  25.9   9.7  -4.3  -8.8 32.831981 -97.299169
  55           54 11:09:11       471          471  968.7  17.09  52   7.20  26.0   9.8  -4.3  -8.8 32.831921 -97.299221
  56           55 11:09:12       477          477  968.1  17.04  52   7.19  26.2   9.9  -4.4  -8.9 32.831844 -97.299291
  57           56 11:09:13       482          482  967.5  16.99  52   7.18  26.3  10.0  -4.4  -8.9 32.831748 -97.299364
  58           57 11:09:14       488          488  966.8  16.94  52   7.14  26.5  10.0  -4.5  -9.0 32.831642 -97.299424
  59           58 11:09:15       493          493  966.2  16.89  52   7.07  26.7  10.1  -4.5  -9.0 32.831539 -97.299465
  60           59 11:09:16       499          499  965.6  16.86  52   7.03  26.9  10.1  -4.6  -9.0 32.831448 -97.299487
  61           60 11:09:17       504          504  965.0  16.83  52   7.02  27.2  10.2  -4.6  -9.0 32.831375 -97.299502
  62           61 11:09:18       509          509  964.4  16.79  52   7.04  27.5  10.2  -4.7  -9.0 32.831317 -97.299526
  63           62 11:09:19       514          515  963.8  16.74  53   7.03  27.8  10.2  -4.8  -9.1 32.831263 -97.299571
  64           63 11:09:20       519          519  963.3  16.70  53   7.02  28.1  10.3  -4.8  -9.1 32.831203 -97.299638
  65           64 11:09:21       524          524  962.7  16.66  53   7.00  28.5  10.3  -4.9  -9.0 32.831126 -97.299720
  66           65 11:09:22       528          528  962.2  16.62  53   6.97  29.0  10.3  -5.0  -9.0 32.831031 -97.299806
  67           66 11:09:23       533          533  961.7  16.61  53   6.96  29.5  10.3  -5.1  -9.0 32.830923 -97.299883
  68           67 11:09:24       538          538  961.2  16.60  53   6.96  30.0  10.4  -5.2  -9.0 32.830808 -97.299945
