   n Elapsed time  TimeUTC HeightMSL GpsHeightMSL     P   Temp  RH   Dewp   Dir Speed Ecomp Ncomp       Lat        Lon
                s hh:mm:ss         m            m   hPa     °C   %     °C     °   m/s   m/s   m/s         °          °
   1            0 17:02:32       198          198 985.1  22.60  95  21.76 168.0   2.6  -0.5   2.5 32.835222 -97.297940
   2            1 17:02:33       205          205 984.3  22.61  97  22.07 171.3   4.1  -0.6   4.0 32.835367 -97.297976
   3            2 17:02:34       211          210 983.7  22.54  97  21.99 172.1   4.8  -0.7   4.7 32.835476 -97.298004
   4            3 17:02:35       217          217 983.1  22.47  97  21.90 172.4   5.1  -0.7   5.1 32.835561 -97.298030
   5            4 17:02:36       223          223 982.3  22.41  96  21.81 172.6   5.4  -0.7   5.3 32.835623 -97.298056
   6            5 17:02:37       230          230 981.6  22.35  96  21.77 172.7   5.5  -0.7   5.5 32.835671 -97.298073
   7            6 17:02:38       236          236 980.9  22.30  97  21.74 172.9   5.7  -0.7   5.7 32.835722 -97.298075
   8            7 17:02:39       241          241 980.4  22.26  97  21.70 173.2   5.9  -0.7   5.9 32.835790 -97.298062
   9            8 17:02:40       246          245 979.8  22.21  97  21.69 173.4   6.1  -0.7   6.0 32.835874 -97.298044
  10            9 17:02:41       252          251 979.1  22.15  97  21.71 173.7   6.3  -0.7   6.2 32.835959 -97.298038
  11           10 17:02:42       258          258 978.4  22.08  98  21.71 174.0   6.5  -0.7   6.4 32.836036 -97.298050
  12           11 17:02:43       265          265 977.7  22.02  98  21.66 174.3   6.6  -0.7   6.6 32.836097 -97.298077
  13           12 17:02:44       271          271 976.9  21.97  98  21.61 174.6   6.8  -0.6   6.8 32.836142 -97.298112
  14           13 17:02:45       277          277 976.3  21.92  98  21.60 174.9   7.0  -0.6   7.0 32.836180 -97.298143
  15           14 17:02:46       282          282 975.7  21.88  98  21.57 175.2   7.2  -0.6   7.1 32.836217 -97.298161
  16           15 17:02:47       287          287 975.2  21.84  98  21.55 175.5   7.3  -0.6   7.3 32.836259 -97.298160
  17           16 17:02:48       292          292 974.6  21.79  98  21.54 175.8   7.5  -0.5   7.5 32.836304 -97.298148
  18           17 17:02:49       298          298 973.9  21.74  98  21.48 176.1   7.7  -0.5   7.7 32.836354 -97.298136
  19           18 17:02:50       303          304 973.3  21.71  98  21.43 176.4   7.9  -0.5   7.9 32.836408 -97.298136
  20           19 17:02:51       308          308 972.8  21.67  99  21.44 176.7   8.1  -0.5   8.1 32.836467 -97.298153
  21           20 17:02:52       313          313 972.3  21.63  99  21.49 176.9   8.3  -0.4   8.3 32.836534 -97.298182
  22           21 17:02:53       318          318 971.7  21.63  99  21.53 177.2   8.5  -0.4   8.5 32.836613 -97.298213
  23           22 17:02:54       324          324 971.0  21.65  99  21.51 177.4   8.8  -0.4   8.8 32.836704 -97.298231
  24           23 17:02:55       330          330 970.3  21.63  99  21.41 177.6   9.0  -0.4   9.0 32.836805 -97.298224
  25           24 17:02:56       337          337 969.6  21.57  98  21.31 177.7   9.2  -0.4   9.2 32.836903 -97.298187
  26           25 17:02:57       343          343 968.9  21.51  98  21.24 177.9   9.5  -0.3   9.5 32.836991 -97.298132
  27           26 17:02:58       350          350 968.2  21.47  99  21.23 178.0   9.8  -0.3   9.8 32.837064 -97.298078
  28           27 17:02:59       356          356 967.5  21.43  99  21.25 178.1  10.0  -0.3  10.0 32.837127 -97.298042
  29           28 17:03:00       362          362 966.8  21.35  99  21.26 178.2  10.3  -0.3  10.3 32.837188 -97.298033
  30           29 17:03:01       368          369 966.1  21.25 100  21.25 178.3  10.6  -0.3  10.6 32.837258 -97.298053
  31           30 17:03:02       373          374 965.6  21.21 100  21.21 178.4  10.9  -0.3  10.9 32.837341 -97.298097
  32           31 17:03:03       377          377 965.1  21.22 100  21.17 178.5  11.2  -0.3  11.2 32.837439 -97.298152
  33           32 17:03:04       380          380 964.8  21.26  99  21.17 178.6  11.5  -0.3  11.5 32.837549 -97.298210
  34           33 17:03:05       384          383 964.4  21.27 100  21.22 178.7  11.8  -0.3  11.8 32.837668 -97.298261
  35           34 17:03:06       388          388 963.9  21.22 100  21.22 178.8  12.1  -0.3  12.1 32.837797 -97.298295
  36           35 17:03:07       393          393 963.4  21.17 100  21.17 178.9  12.4  -0.2  12.4 32.837938 -97.298301
  37           36 17:03:08       397          397 962.9  21.13 100  21.13 179.0  12.7  -0.2  12.7 32.838084 -97.298281
  38           37 17:03:09       402          402 962.4  21.08 100  21.08 179.1  13.0  -0.2  13.0 32.838226 -97.298245
  39           38 17:03:10       406          406 961.9  21.05 100  21.05 179.2  13.2  -0.2  13.2 32.838354 -97.298204
  40           39 17:03:11       411          411 961.3  21.02 100  21.02 179.3  13.5  -0.2  13.5 32.838467 -97.298169
  41           40 17:03:12       417          417 960.7  21.00 100  21.00 179.5  13.8  -0.1  13.8 32.838574 -97.298149
  42           41 17:03:13       423          423 960.1  20.96 100  20.96 179.6  14.0  -0.1  14.0 32.838685 -97.298148
  43           42 17:03:14       429          429 959.4  20.93 100  20.93 179.8  14.3  -0.0  14.3 32.838810 -97.298163
  44           43 17:03:15       434          434 958.9  20.90 100  20.90 180.0  14.5  -0.0  14.5 32.838950 -97.298187
  45           44 17:03:16       438          438 958.4  20.88 100  20.88 180.2  14.7   0.0  14.7 32.839098 -97.298214
  46           45 17:03:17       443          442 957.9  20.86 100  20.86 180.4  14.9   0.1  14.9 32.839250 -97.298242
  47           46 17:03:18       448          448 957.3  20.84 100  20.84 180.6  15.1   0.2  15.1 32.839401 -97.298268
  48           47 17:03:19       454          454 956.7  20.81 100  20.81 180.9  15.3   0.2  15.3 32.839552 -97.298285
  49           48 17:03:20       459          459 956.1  20.79 100  20.79 181.1  15.5   0.3  15.5 32.839705 -97.298285
  50           49 17:03:21       465          465 955.5  20.78 100  20.78 181.4  15.6   0.4  15.6 32.839858 -97.298265
  51           50 17:03:22       469          469 954.9  20.76 100  20.76 181.6  15.8   0.4  15.8 32.840003 -97.298233
  52           51 17:03:23       475          474 954.4  20.74 100  20.74 181.9  15.9   0.5  15.9 32.840133 -97.298201
  53           52 17:03:24       480          480 953.8  20.75 100  20.70 182.1  16.0   0.6  16.0 32.840254 -97.298182
