   n Elapsed time  TimeUTC HeightMSL GpsHeightMSL      P   Temp RH   Dewp   Dir Speed Ecomp Ncomp       Lat        Lon
                s hh:mm:ss         m            m    hPa     °C  %     °C     °   m/s   m/s   m/s         °          °
   1            0 11:11:23       198          198 1015.3 -11.60 50 -19.96 337.0   5.1   2.0  -4.7 32.835222 -97.297940
   2            1 11:11:24       206          205 1014.3 -11.70 43 -21.81 329.7   3.5   1.8  -3.1 32.835122 -97.297720
   3            2 11:11:25       211          211 1013.6 -11.78 44 -21.73 326.1   3.1   1.7  -2.6 32.835056 -97.297610
   4            3 11:11:26       217          217 1012.9 -11.83 44 -21.77 326.0   3.1   1.8  -2.6 32.835019 -97.297546
   5            4 11:11:27       223          222 1012.1 -11.88 44 -21.80 327.8   3.4   1.8  -2.9 32.835006 -97.297507
   6            5 11:11:28       229          229 1011.2 -11.95 44 -21.82 329.9   3.7   1.9  -3.2 32.835000 -97.297484
   7            6 11:11:29       237          237 1010.2 -12.02 44 -21.83 331.6   4.0   1.9  -3.5 32.834978 -97.297477
   8            7 11:11:30       244          244 1009.3 -12.08 44 -21.86 333.1   4.2   1.9  -3.8 32.834933 -97.297481
   9            8 11:11:31       250          250 1008.5 -12.15 44 -21.89 334.5   4.5   1.9  -4.1 32.834873 -97.297484
  10            9 11:11:32       256          256 1007.7 -12.21 44 -21.92 335.7   4.7   1.9  -4.3 32.834815 -97.297468
  11           10 11:11:33       262          262 1006.9 -12.29 44 -21.98 336.9   5.0   1.9  -4.6 32.834773 -97.297429
  12           11 11:11:34       268          268 1006.1 -12.36 45 -21.97 338.1   5.2   1.9  -4.8 32.834749 -97.297385
  13           12 11:11:35       274          274 1005.3 -12.43 45 -21.94 339.2   5.4   1.9  -5.1 32.834736 -97.297351
  14           13 11:11:36       280          280 1004.5 -12.49 45 -21.95 340.2   5.6   1.9  -5.3 32.834724 -97.297322
  15           14 11:11:37       287          287 1003.7 -12.55 45 -21.97 341.2   5.9   1.9  -5.5 32.834706 -97.297290
  16           15 11:11:38       293          293 1002.8 -12.62 46 -21.99 342.1   6.1   1.9  -5.8 32.834674 -97.297247
  17           16 11:11:39       300          300 1001.9 -12.70 46 -22.01 343.0   6.3   1.8  -6.0 32.834618 -97.297194
  18           17 11:11:40       306          306 1001.1 -12.77 46 -22.01 343.7   6.5   1.8  -6.2 32.834539 -97.297144
  19           18 11:11:41       313          313 1000.3 -12.83 46 -22.00 344.5   6.7   1.8  -6.4 32.834445 -97.297111
  20           19 11:11:42       319          319  999.4 -12.89 46 -22.01 345.1   6.8   1.8  -6.6 32.834347 -97.297104
  21           20 11:11:43       325          325  998.7 -12.95 47 -22.05 345.7   7.0   1.7  -6.8 32.834258 -97.297119
  22           21 11:11:44       331          331  997.8 -13.02 47 -22.08 346.3   7.2   1.7  -7.0 32.834182 -97.297147
  23           22 11:11:45       337          337  997.0 -13.10 47 -22.12 346.7   7.4   1.7  -7.2 32.834120 -97.297172
  24           23 11:11:46       344          344  996.1 -13.20 47 -22.19 347.1   7.5   1.7  -7.3 32.834064 -97.297179
  25           24 11:11:47       351          351  995.3 -13.27 47 -22.22 347.4   7.6   1.7  -7.4 32.834004 -97.297163
  26           25 11:11:48       357          357  994.4 -13.33 47 -22.24 347.6   7.7   1.7  -7.5 32.833932 -97.297134
  27           26 11:11:49       363          363  993.6 -13.39 47 -22.25 347.8   7.8   1.7  -7.6 32.833846 -97.297107
  28           27 11:11:50       369          369  992.8 -13.46 47 -22.29 348.0   8.0   1.7  -7.8 32.833760 -97.297096
  29           28 11:11:51       375          375  992.1 -13.53 47 -22.37 348.1   8.1   1.7  -7.9 32.833689 -97.297100
  30           29 11:11:52       381          381  991.4 -13.59 48 -22.39 348.2   8.2   1.7  -8.1 32.833636 -97.297105
  31           30 11:11:53       387          386  990.6 -13.66 48 -22.38 348.3   8.4   1.7  -8.2 32.833588 -97.297104
  32           31 11:11:54       393          393  989.7 -13.72 48 -22.40 348.3   8.5   1.7  -8.3 32.833527 -97.297096
  33           32 11:11:55       401          401  988.7 -13.79 48 -22.47 348.3   8.6   1.7  -8.4 32.833443 -97.297088
  34           33 11:11:56       409          409  987.6 -13.86 48 -22.50 348.3   8.7   1.8  -8.5 32.833342 -97.297080
  35           34 11:11:57       417          418  986.6 -13.95 48 -22.50 348.2   8.8   1.8  -8.6 32.833239 -97.297066
  36           35 11:11:58       425          426  985.5 -14.05 49 -22.53 348.1   8.9   1.8  -8.7 32.833148 -97.297040
  37           36 11:11:59       433          433  984.6 -14.12 49 -22.55 348.0   9.0   1.9  -8.9 32.833080 -97.297003
  38           37 11:12:00       439          440  983.7 -14.17 49 -22.53 347.9   9.2   1.9  -9.0 32.833030 -97.296964
  39           38 11:12:01       446          446  982.8 -14.23 50 -22.50 347.8   9.3   2.0  -9.1 32.832980 -97.296925
  40           39 11:12:02       453          453  982.0 -14.30 50 -22.50 347.7   9.4   2.0  -9.2 32.832911 -97.296887
  41           40 11:12:03       459          459  981.1 -14.37 50 -22.54 347.6   9.5   2.0  -9.3 32.832820 -97.296848
  42           41 11:12:04       466          466  980.3 -14.44 50 -22.59 347.5   9.6   2.1  -9.3 32.832725 -97.296804
  43           42 11:12:05       472          472  979.5 -14.52 50 -22.62 347.4   9.7   2.1  -9.4 32.832643 -97.296758
  44           43 11:12:06       478          478  978.7 -14.59 51 -22.61 347.3   9.8   2.1  -9.5 32.832575 -97.296715
  45           44 11:12:07       485          485  977.9 -14.64 51 -22.58 347.2   9.8   2.2  -9.6 32.832510 -97.296687
  46           45 11:12:08       491          491  977.1 -14.68 51 -22.57 347.2   9.9   2.2  -9.7 32.832436 -97.296680
  47           46 11:12:09       497          497  976.3 -14.73 51 -22.56 347.1  10.0   2.2  -9.8 32.832347 -97.296682
  48           47 11:12:10       502          502  975.5 -14.79 52 -22.58 347.1  10.1   2.3  -9.8 32.832245 -97.296678
  49           48 11:12:11       509          509  974.7 -14.86 52 -22.64 347.1  10.2   2.3  -9.9 32.832134 -97.296657
  50           49 11:12:12       515          515  973.9 -14.92 52 -22.66 347.0  10.2   2.3 -10.0 32.832020 -97.296623
  51           50 11:12:13       521          521  973.2 -14.99 52 -22.67 347.0  10.3   2.3 -10.0 32.831911 -97.296591
  52           51 11:12:14       526          526  972.5 -15.05 52 -22.72 347.0  10.4   2.3 -10.1 32.831805 -97.296575
  53           52 11:12:15       531          531  971.8 -15.10 52 -22.76 347.0  10.4   2.3 -10.2 32.831700 -97.296578
  54           53 11:12:16       536          536  971.2 -15.15 52 -22.75 347.0  10.5   2.3 -10.2 32.831595 -97.296590
  55           54 11:12:17       542          542  970.5 -15.19 53 -22.74 347.1  10.5   2.4 -10.2 32.831491 -97.296591
  56           55 11:12:18       548          548  969.7 -15.25 53 -22.77 347.1  10.6   2.4 -10.3 32.831393 -97.296571
  57           56 11:12:19       553          554  969.0 -15.30 53 -22.84 347.1  10.6   2.4 -10.3 32.831307 -97.296527
