n,Elapsed,TimeUTC,HeightMSL,GpsHeightMSL,P,Temp,RH,Dewp,Dir,Speed,Ecomp,Ncomp,Lat,Lon
1,0,23:05:17,198,198,991.4,20.30,29,1.74,304.0,4.6,3.8,-2.6,32.835222,-97.297940
2,1,23:05:18,199,200,991.3,19.89,27,0.14,316.3,3.6,2.5,-2.6,32.835058,-97.297699
3,2,23:05:19,205,205,990.7,20.04,26,0.02,323.7,3.4,2.0,-2.7,32.834963,-97.297571
4,3,23:05:20,211,211,989.9,20.05,26,-0.11,327.1,3.5,1.9,-2.9,32.834910,-97.297491
5,4,23:05:21,218,218,989.1,19.98,26,-0.21,328.1,3.7,2.0,-3.2,32.834894,-97.297441
6,5,23:05:22,225,225,988.3,19.91,26,-0.25,328.6,4.0,2.1,-3.4,32.834899,-97.297410
7,6,23:05:23,232,232,987.5,19.86,26,-0.26,329.1,4.2,2.2,-3.6,32.834902,-97.297391
8,7,23:05:24,239,239,986.8,19.80,26,-0.28,329.8,4.4,2.2,-3.8,32.834880,-97.297379
9,8,23:05:25,245,245,986.0,19.73,26,-0.32,330.5,4.6,2.3,-4.0,32.834830,-97.297371
10,9,23:05:26,251,251,985.3,19.62,26,-0.39,331.2,4.8,2.3,-4.2,32.834759,-97.297364
11,10,23:05:27,257,257,984.7,19.55,26,-0.43,331.8,5.0,2.4,-4.4,32.834680,-97.297355
12,11,23:05:28,262,262,984.1,19.45,26,-0.50,332.3,5.1,2.4,-4.6,32.834606,-97.297345
13,12,23:05:29,268,268,983.4,19.35,26,-0.57,332.8,5.3,2.4,-4.7,32.834546,-97.297336
14,13,23:05:30,274,274,982.7,19.29,26,-0.60,333.2,5.5,2.5,-4.9,32.834505,-97.297321
15,14,23:05:31,280,280,982.0,19.23,26,-0.64,333.6,5.6,2.5,-5.0,32.834481,-97.297292
16,15,23:05:32,287,287,981.3,19.16,26,-0.65,333.9,5.7,2.5,-5.1,32.834463,-97.297248
17,16,23:05:33,293,293,980.6,19.10,26,-0.62,334.2,5.8,2.5,-5.3,32.834436,-97.297199
18,17,23:05:34,299,299,979.9,19.05,26,-0.61,334.5,5.9,2.6,-5.4,32.834390,-97.297156
19,18,23:05:35,304,304,979.2,18.99,27,-0.62,334.7,6.0,2.6,-5.5,32.834322,-97.297119
20,19,23:05:36,310,310,978.6,18.93,27,-0.68,334.8,6.1,2.6,-5.5,32.834239,-97.297088
21,20,23:05:37,316,316,977.9,18.87,27,-0.70,335.0,6.2,2.6,-5.6,32.834151,-97.297063
22,21,23:05:38,322,322,977.2,18.83,27,-0.66,335.0,6.3,2.6,-5.7,32.834066,-97.297046
23,22,23:05:39,328,328,976.5,18.78,27,-0.59,335.1,6.3,2.7,-5.7,32.833990,-97.297040
24,23,23:05:40,334,335,975.8,18.73,27,-0.56,335.0,6.4,2.7,-5.8,32.833935,-97.297036
25,24,23:05:41,340,340,975.2,18.67,27,-0.56,335.0,6.4,2.7,-5.8,32.833902,-97.297021
26,25,23:05:42,345,345,974.6,18.62,27,-0.56,334.9,6.5,2.7,-5.9,32.833881,-97.296987
27,26,23:05:43,350,350,974.0,18.55,27,-0.63,334.8,6.5,2.8,-5.9,32.833858,-97.296933
28,27,23:05:44,356,356,973.3,18.48,27,-0.72,334.7,6.5,2.8,-5.9,32.833819,-97.296871
29,28,23:05:45,362,362,972.6,18.42,27,-0.78,334.5,6.6,2.8,-5.9,32.833763,-97.296817
30,29,23:05:46,368,368,972.0,18.37,27,-0.79,334.3,6.6,2.9,-6.0,32.833693,-97.296784
31,30,23:05:47,374,374,971.3,18.31,27,-0.74,334.0,6.6,2.9,-6.0,32.833618,-97.296771
32,31,23:05:48,380,380,970.6,18.25,28,-0.71,333.7,6.7,2.9,-6.0,32.833547,-97.296770
33,32,23:05:49,385,385,970.0,18.19,28,-0.75,333.4,6.7,3.0,-6.0,32.833488,-97.296767
34,33,23:05:50,391,391,969.4,18.14,28,-0.82,333.1,6.7,3.0,-6.0,32.833446,-97.296755
35,34,23:05:51,397,397,968.7,18.08,28,-0.86,332.8,6.7,3.1,-6.0,32.833417,-97.296726
36,35,23:05:52,403,403,968.0,18.01,28,-0.87,332.4,6.7,3.1,-6.0,32.833393,-97.296681
37,36,23:05:53,409,409,967.4,17.95,28,-0.88,332.0,6.7,3.2,-6.0,32.833359,-97.296629
38,37,23:05:54,414,414,966.7,17.90,28,-0.88,331.6,6.8,3.2,-5.9,32.833309,-97.296584
39,38,23:05:55,420,420,966.1,17.86,28,-0.85,331.3,6.8,3.3,-5.9,32.833244,-97.296553
40,39,23:05:56,425,425,965.5,17.80,28,-0.83,330.9,6.8,3.3,-5.9,32.833170,-97.296532
41,40,23:05:57,430,430,964.9,17.74,28,-0.85,330.5,6.8,3.3,-5.9,32.833090,-97.296511
42,41,23:05:58,436,436,964.3,17.69,28,-0.89,330.1,6.8,3.4,-5.9,32.833011,-97.296478
43,42,23:05:59,441,441,963.7,17.64,28,-0.98,329.7,6.8,3.4,-5.9,32.832937,-97.296430
44,43,23:06:00,446,446,963.1,17.58,28,-1.07,329.4,6.8,3.5,-5.8,32.832876,-97.296368
45,44,23:06:01,452,452,962.5,17.52,28,-1.12,329.0,6.8,3.5,-5.8,32.832833,-97.296304
46,45,23:06:02,457,457,961.8,17.47,28,-1.13,328.7,6.8,3.5,-5.8,32.832803,-97.296254
